cluster3,a1ar1,a1ar2,a1ar3,a1ar4,a1ar5,a1ar6,a1ar7,a1br1,a1br2,a1br3,a1br4,a1br5,a1cr1,a1cr2,a1cr3,a1cr4,a1cr5,a1cr6,a1cr7,a2r1,a2r2,a2r3,a2r4,a2r5,a2r6,a2r7,a2r8,a2r9,a2r10,a2r11,a3r1,a3r2,a3r3,a3r4,a3r5,a3r6,a3r7,a3r8,a3r9,a3r10,a3r11,a4r1,a4r2,a4r3,a4r4,a4r5,a4r6,a4r7,a4r8,a4r9,a5r1,a5r2,a5r3,a5r4,a5r5,a5r6,a5r7,a5r8,c1r1,c1r2,c1r3,c1r4,c1r5,c1r6,c1r7,c1r8,c1r9,c1r10,c1r11,c1r96,c1r99,c7r1,c7r2,c7r3,c7r4,c7r5,c7r6,c7r7,c7r96,c8r1,c8r2,c8r3,c8r4,c8r5,c8r6,c8r7,c8r8,c8r9,c8r10,c8r11,c8r12,c8r13,c8r14,c8r15,c8r16,c8r17,c8r18,c8r19,c8r20
1,2.9555555555555557,2.577777777777778,3.7777777777777777,3.066666666666667,3.533333333333333,4.866666666666666,4.111111111111111,3.8666666666666667,2.6222222222222222,4.711111111111111,4,2.688888888888889,5.4,4.155555555555556,4.888888888888889,3.6222222222222222,4.266666666666667,3.066666666666667,3.466666666666667,3.533333333333333,4.844444444444444,4.688888888888889,4.7555555555555555,4.133333333333334,4.288888888888889,3.8222222222222224,4.333333333333333,3.3777777777777778,3.911111111111111,4.133333333333334,3.1555555555555554,4,3.4444444444444446,3.9555555555555557,3.3777777777777778,3.6222222222222222,2.9555555555555557,4.133333333333334,3.7333333333333334,3.3555555555555556,3.466666666666667,1.9777777777777779,2.533333333333333,1.7555555555555555,2.577777777777778,2.7333333333333334,1.6666666666666667,2.3555555555555556,2.1555555555555554,2.3777777777777778,3.466666666666667,3.3555555555555556,4.177777777777778,2.3777777777777778,3.3333333333333335,3.3555555555555556,3.6444444444444444,2.911111111111111,0.6444444444444445,0.28888888888888886,0.26666666666666666,0.7111111111111111,0.8444444444444444,0.28888888888888886,0.4222222222222222,0.3111111111111111,0.6,0.28888888888888886,0.4666666666666667,0.1111111111111111,0,0.8,0.7111111111111111,0.24444444444444444,0.3333333333333333,0.28888888888888886,0.15555555555555556,0.3111111111111111,0.022222222222222223,0.37777777777777777,0.6222222222222222,0.6666666666666666,0.37777777777777777,0.6666666666666666,0.26666666666666666,0.5111111111111111,0.4222222222222222,0.37777777777777777,0.2,0.28888888888888886,0.26666666666666666,0.5555555555555556,0.28888888888888886,0.6222222222222222,0.26666666666666666,0.1111111111111111,0.4888888888888889,0.35555555555555557,0.044444444444444446
2,4,4,4.818181818181818,2.727272727272727,3.909090909090909,5.318181818181818,4.363636363636363,5.090909090909091,5.090909090909091,5.7272727272727275,6.363636363636363,5,6.454545454545454,4.318181818181818,6.590909090909091,5.590909090909091,4.863636363636363,5,3.727272727272727,2.4545454545454546,4.545454545454546,4.2272727272727275,4.5,3.727272727272727,3.727272727272727,2.772727272727273,2.9545454545454546,2.590909090909091,3.1818181818181817,3.272727272727273,2.1818181818181817,3.6363636363636362,2.909090909090909,3.090909090909091,2.272727272727273,2.4545454545454546,1.8636363636363635,2.772727272727273,2.409090909090909,2.272727272727273,2.272727272727273,1.5454545454545454,2.227272727272727,1.7727272727272727,2.409090909090909,2.5,1.5454545454545454,2.090909090909091,1.2727272727272727,2.409090909090909,3.6818181818181817,3.5,4.2727272727272725,2.090909090909091,3.6818181818181817,3.272727272727273,3.590909090909091,2.409090909090909,0.5454545454545454,0.09090909090909091,0.2727272727272727,0.5909090909090909,0.7272727272727273,0.4090909090909091,0.36363636363636365,0.22727272727272727,0.5454545454545454,0.5,0.5,0.22727272727272727,0,0.9545454545454546,0.36363636363636365,0.3181818181818182,0.22727272727272727,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.045454545454545456,0.18181818181818182,0.3181818181818182,0.3181818181818182,0.2727272727272727,0.36363636363636365,0.22727272727272727,0.5,0.3181818181818182,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.3181818181818182,0.3181818181818182,0.5909090909090909,0.09090909090909091,0,0.2727272727272727,0.2727272727272727,0.045454545454545456
3,3.5483870967741935,3.3870967741935485,4.258064516129032,2.7419354838709675,3.5483870967741935,4.709677419354839,2.7096774193548385,3.903225806451613,5.419354838709677,5.548387096774194,6.129032258064516,3.6774193548387095,5.870967741935484,4.806451612903226,5.225806451612903,4.419354838709677,5.354838709677419,3.4838709677419355,3.2903225806451615,3.096774193548387,4.838709677419355,4.548387096774194,4.806451612903226,3.7096774193548385,3.935483870967742,3.2903225806451615,3.870967741935484,2.774193548387097,3.4516129032258065,3.6129032258064515,3.032258064516129,4.419354838709677,3.7096774193548385,4,3.225806451612903,3.6129032258064515,2.7419354838709675,4.161290322580645,3.2580645161290325,3.193548387096774,3.4193548387096775,2.064516129032258,2.4838709677419355,1.8064516129032258,2.3870967741935485,2.6774193548387095,1.5806451612903225,2.2903225806451615,2.161290322580645,2.2903225806451615,3.6451612903225805,3.4516129032258065,4.225806451612903,2.3548387096774195,3.4838709677419355,3.3870967741935485,4.129032258064516,3.225806451612903,0.6129032258064516,0.03225806451612903,0.06451612903225806,0.5806451612903226,0.7419354838709677,0.1935483870967742,0.45161290322580644,0.16129032258064516,0.5806451612903226,0.2903225806451613,0.5483870967741935,0.22580645161290322,0,0.8064516129032258,0.6129032258064516,0.1935483870967742,0.22580645161290322,0.3548387096774194,0.3548387096774194,0.1935483870967742,0,0.2903225806451613,0.3225806451612903,0.6774193548387096,0.3548387096774194,0.25806451612903225,0.3548387096774194,0.4838709677419355,0.5806451612903226,0.45161290322580644,0.16129032258064516,0.16129032258064516,0.1935483870967742,0.3870967741935484,0.3548387096774194,0.4838709677419355,0.16129032258064516,0.03225806451612903,0.25806451612903225,0.3548387096774194,0.12903225806451613
4,3.95,3.6,4.45,3.8,4,6.05,5.1,4.3,2.5,4.45,3.45,6.9,5.55,3.95,5.15,4.1,4.85,3.9,3.8,2,4.75,4.25,4.25,3.3,3.75,2.65,3.1,2.5,2.95,3.1,2.25,4.15,3.4,3.45,2.7,3.3,2.3,3,3.2,2.8,2.95,1.95,2.35,1.8,2.5,2.65,1.75,2.3,1.75,2.35,3.65,3.4,4.2,2.25,3.85,3.5,3.65,3.05,0.7,0.15,0.3,0.45,0.55,0.4,0.5,0.2,0.7,0.45,0.45,0.05,0,0.95,0.55,0.15,0.15,0.05,0.1,0.3,0,0.3,0.4,0.3,0.2,0.65,0.25,0.4,0.2,0.35,0.05,0.2,0.25,0.45,0.2,0.85,0.15,0.15,0.45,0.4,0.05
5,5.375,5.1875,5.5625,4.90625,4.9375,6.0625,6.875,5.09375,5.75,5.34375,5.34375,6.375,6.1875,5.4375,5.3125,4.6875,5.625,4.53125,4.28125,2.75,4.78125,4.125,4.625,3.34375,3.5625,3.21875,3.875,2.6875,3.125,3.34375,2.875,4,3.5,3.65625,2.71875,3.25,2.6875,4.21875,3.25,3.25,3.125,1.9375,2.59375,1.625,2.5,2.5625,1.625,2.0625,2.1875,2.4375,3.375,3.53125,3.96875,2.59375,3.25,3.5625,3.6875,2.71875,0.625,0.09375,0.15625,0.75,0.9375,0.34375,0.375,0.15625,0.53125,0.28125,0.59375,0.1875,0,0.90625,0.46875,0.25,0.3125,0.1875,0.3125,0.09375,0.09375,0.34375,0.21875,0.5625,0.3125,0.375,0.125,0.5625,0.46875,0.3125,0.0625,0.3125,0.3125,0.46875,0.21875,0.34375,0.25,0.0625,0.4375,0.46875,0.125
